Programme_Code,Programme_Title,Programme_Category,School,Department
WD_AARTS_MS,Master of Arts,26,Humanities,Law and Criminal Justice Studies
WD_APSLA_D,Bachelor of Science - Laboratory Analyst,10,Science & Computing,Science
WD_APSLT_C,Higher Certificate in Science - Laboratory Technician,16,Science & Computing,Science
WD_AVISA_B,BA (Hons) in Visual Art,11,Humanities,Arts
WD_BACCE_MS,Masters of Business,26,Business,Accountancy & Economics
WD_BACCE_P,Doctor of Philosophy,27,Business,Accountancy & Economics
WD_BACCE_PJ,PhD in Business Studies,27,Business,Accountancy & Economics
WD_BACCE_PS,PhD in Business Studies,27,Business,Accountancy & Economics
WD_BACCT_B,BA (Hons) in Accounting,11,Business,Accountancy & Economics
WD_BADFE_B,BA (H) Adult & Further Education Research,11,SoELL,SoELL
WD_BADFE_C,BADFE_C_Y1 HC in Arts in Adult & Further Education,16,SoELL,SoELL
WD_BADFE_D,BA (Ord) in Adult & Further Education Level 7,10,SoELL,SoELL
WD_BADLT_MA,Certificate in Adult Literacy Studies,15,SoELL,SoELL
WD_BBADM_R,Master of Business Admin,25,Business,Graduate Business
WD_BBADM_TP,Doctorate in Business Administration,27,Business,Graduate Business
WD_BBBIS_B,Bachelor of Business (H) Business Inf Systems,11,Business,Accountancy & Economics
WD_BBEDV_C,Higher Certificate In Business in Small Business Enterprise,16,SoELL,SoELL
WD_BBUSI_B,Bachelor of Business (Hons),11,Business,Management & Organisation
WD_BBUSI_C,HC in Business Studies,16,Business,Accountancy & Economics
WD_BBUSI_D,Bachelor of Business,10,Business,Accountancy & Economics
WD_BBUSM_G,Higher Diploma in Business in Management,29,Business,Graduate Business
WD_BCEDV_B,BA (H) in Community Education & Development,11,SoELL,SoELL
WD_BCEDV_D,BA Community Education & Development,10,SoELL,SoELL
WD_BCOMM_C,Certificate in Arts Community Education and Development,16,SoELL,SoELL
WD_BDMAP_G,PG Diploma in Digital Marketing Prac ,30,Business,Graduate Business
WD_BDMAP_R,PG Diploma in Digital Marketing Prac ,25,Business,Graduate Business
WD_BENTX_R,Master of Business in Lean Enterprise Excellence,25,Business,Graduate Business
WD_BFIBA_G,PG Diploma in Business in Finance & Business Analytics,30,Business,Graduate Business
WD_BFIBA_R,Master of Business in Finance & Business Analytics,25,Business,Graduate Business
WD_BHRMG_MA,Minor Award Certificate in Human Resource Management,15,SoELL,SoELL
WD_BINFA_R,Master of Business in Investment Fund Administration,25,Business,Graduate Business
WD_BINTB_B,BA (H) International Business,11,Business,Management & Organisation
WD_BINTM_B,Bachelor of Arts (Honours) in International Management,11,Business,Management & Organisation
WD_BINTN_R,Master of Business in Internationalisation,25,Business,Graduate Business
WD_BLEAN_SP,Diploma in Lean Fundamentals,12,Business,Graduate Business
WD_BLITD_C,Higher Certificate in Arts in Literacy Development,16,SoELL,SoELL
WD_BMABS_R,Master of Business,25,Business,Graduate Business
WD_BMAED_P,Doctor of Philosophy,27,SoELL,SoELL
WD_BMAED_PJ,PhD in Adult Education,27,SoELL,SoELL
WD_BMAED_PS,PhD in Adult Education,27,SoELL,SoELL
WD_BMBEF_SP,Certificate in Economics & Finance,23,Business,Graduate Business
WD_BMGTD_SP,Certificate in Management Development,15,SoELL,SoELL
WD_BMGTO_P,Doctor of Philosophy,27,Business,Management & Organisation
WD_BMGTO_PJ,PhD in Business Studies,27,Business,Management & Organisation
WD_BMGTO_PS,PhD in Business Studies,27,Business,Management & Organisation
WD_BMKCO_SP,Certificate in Contemporary Marketing,15,Business,Management & Organisation
WD_BMKDM_B,Bachelor of Arts (Honours) in Marketing & Digital Media,11,Business,Management & Organisation
WD_BMTED_R,Master of Arts in Management in Education,25,SoELL,SoELL
WD_BRADO_SP,Cert in Introduction to Radio Broadcast Journalism & Presentation,15,SoELL,SoELL
WD_BREMG_D,BSc Retail Management,10,Business,Management & Organisation
WD_BSUPR_SP,Diploma in Supervisory Practice,12,Business,Graduate Business
WD_BTAFE_B,Bachelor of Arts (Honours) in Teaching in Adult and Further Education,11,SoELL,SoELL
WD_BTEAC_B, BA (Hons) Teaching in Further Education,11,SoELL,SoELL
WD_BTEAC_G,PG Diploma in Teaching in Further Education ,30,SoELL,SoELL
WD_BTEAL_R,Master of Education in Teaching and Learning,25,SoELL,SoELL
WD_BTECH_MA,Certificate in Technology Enhanced Learning,23,SoELL,SoELL
WD_CARBM_B,BSc ( H ) in Architecture & BIM Technology,11,Engineering,Architecture
WD_CATEC_D,BSc in Architectural Tech,10,Engineering,Architecture
WD_CBARC_B,Bachelor of Architecture (H),11,Engineering,Architecture
WD_CCONM_B,BSc (H) in Const Mgmt and Eng,11,Engineering,Built Environment
WD_CCPMA_R,MSc in Construction Project Management,26,Engineering,Built Environment
WD_CFIRE_D,Bachelor of Engineering in Fire Engineering,10,Engineering,Built Environment
